level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1240	1754	-1	
2	1	1	0	0	0	110	31	1032	75	-1	
3	1	1	1	0	0	110	31	1032	75	-1	
4	1	1	1	1	0	110	31	1032	75	-1	
5	1	1	1	1	1	110	60	73	11	92.810799	TRIBUNAL
5	1	1	1	1	2	187	59	83	11	92.810799	JUDICIAIRE
5	1	1	1	1	3	275	58	20	11	96.798264	DE
5	1	1	1	1	4	300	57	82	12	93.250626	GRENOBLE
5	1	1	1	1	5	388	63	13	1	93.121544	—
5	1	1	1	1	6	407	56	73	11	95.695763	Information
5	1	1	1	1	7	486	56	10	10	58.876686	n°
5	1	1	1	1	8	504	56	10	11	62.926521	J1
5	1	1	1	1	9	520	55	61	11	87.823105	26/00044
5	1	1	1	1	10	587	61	13	1	87.823105	—
5	1	1	1	1	11	606	55	38	13	96.502716	Copie
5	1	1	1	1	12	649	54	16	11	91.620247	de
5	1	1	1	1	13	671	54	10	10	91.620247	la
5	1	1	1	1	14	686	53	66	14	92.721863	procédure
5	1	1	1	1	15	898	51	34	14	91.565704	Page
5	1	1	1	1	16	938	50	44	12	78.816383	11/31
5	1	1	1	1	17	1010	31	132	75	48.966614	(D10)
2	1	2	0	0	0	1055	109	48	20	-1	
3	1	2	1	0	0	1055	109	48	20	-1	
4	1	2	1	1	0	1055	109	48	20	-1	
5	1	2	1	1	1	1055	109	48	20	51.256466	74
2	1	3	0	0	0	928	141	204	15	-1	
3	1	3	1	0	0	928	141	204	15	-1	
4	1	3	1	1	0	928	141	204	15	-1	
5	1	3	1	1	1	928	143	17	13	82.343979	N°
5	1	3	1	1	2	952	142	76	14	85.624054	instruction
5	1	3	1	1	3	1034	145	3	9	92.895241	:
5	1	3	1	1	4	1043	142	12	12	58.290867	JI
5	1	3	1	1	5	1061	141	71	13	92.451500	26/00044
2	1	4	0	0	0	105	149	1027	32	-1	
3	1	4	1	0	0	105	149	1027	32	-1	
4	1	4	1	1	0	105	149	215	19	-1	
5	1	4	1	1	1	105	149	111	19	94.883797	RÉPUBLIQUE
5	1	4	1	1	2	221	150	99	17	95.815102	FRANÇAISE
4	1	4	1	2	0	934	163	198	18	-1	
5	1	4	1	2	1	934	165	18	13	88.700150	N°
5	1	4	1	2	2	958	166	57	15	89.217453	parquet
5	1	4	1	2	3	1021	167	2	9	89.217453	:
5	1	4	1	2	4	1030	163	102	13	91.884361	26.038.01152
2	1	5	0	0	0	104	171	318	61	-1	
3	1	5	1	0	0	104	171	318	61	-1	
4	1	5	1	1	0	104	171	318	16	-1	
5	1	5	1	1	1	104	174	88	13	96.180672	TRIBUNAL
5	1	5	1	1	2	196	173	96	13	95.972412	JUDICIAIRE
5	1	5	1	1	3	298	172	23	13	96.617249	DE
5	1	5	1	1	4	326	171	96	14	96.208702	GRENOBLE
4	1	5	1	2	0	105	194	246	15	-1	
5	1	5	1	2	1	105	196	75	13	93.121262	CABINET
5	1	5	1	2	2	186	194	131	14	90.911522	D'INSTRUCTION
5	1	5	1	2	3	324	194	27	13	96.058891	N°2
4	1	5	1	3	0	105	219	201	13	-1	
5	1	5	1	3	1	105	221	18	11	35.218964	M.
5	1	5	1	3	2	135	221	9	11	35.218964	E.
5	1	5	1	3	3	162	220	104	12	90.966965	ROUVIÈRE,
5	1	5	1	3	4	277	219	29	11	91.869110	VPI
2	1	6	0	0	0	103	235	1030	15	-1	
3	1	6	1	0	0	103	235	1030	15	-1	
4	1	6	1	1	0	103	235	1030	15	-1	
5	1	6	1	1	1	103	235	1030	15	95.000000	 
2	1	7	0	0	0	520	265	198	20	-1	
3	1	7	1	0	0	520	265	198	20	-1	
4	1	7	1	1	0	520	265	198	20	-1	
5	1	7	1	1	1	520	265	198	20	91.534500	ORDONNANCE
2	1	8	0	0	0	411	301	418	20	-1	
3	1	8	1	0	0	411	301	418	20	-1	
4	1	8	1	1	0	411	301	418	20	-1	
5	1	8	1	1	1	411	306	75	14	92.545753	autorisant
5	1	8	1	1	2	492	305	13	14	92.545753	le
5	1	8	1	1	3	511	308	56	11	96.660355	recours
5	1	8	1	1	4	572	304	8	14	97.001732	à
5	1	8	1	1	5	587	304	12	14	96.633232	la
5	1	8	1	1	6	605	302	116	19	95.874420	géolocalisation
5	1	8	1	1	7	727	306	17	10	94.462196	en
5	1	8	1	1	8	750	305	46	14	92.151093	temps
5	1	8	1	1	9	801	301	28	14	96.554077	réel
2	1	9	0	0	0	107	344	918	142	-1	
3	1	9	1	0	0	107	344	881	28	-1	
4	1	9	1	1	0	107	344	881	28	-1	
5	1	9	1	1	1	107	355	49	17	96.743515	Nous,
5	1	9	1	1	2	163	350	71	20	93.289505	Étienne
5	1	9	1	1	3	240	348	120	22	92.116417	ROUVIÈRE,
5	1	9	1	1	4	368	350	121	22	95.978287	vice-président
5	1	9	1	1	5	496	349	56	21	96.901031	chargé
5	1	9	1	1	6	558	349	20	16	96.901031	de
5	1	9	1	1	7	584	349	102	16	88.806061	l'instruction
5	1	9	1	1	8	692	353	20	11	92.098488	au
5	1	9	1	1	9	718	347	66	16	96.761414	tribunal
5	1	9	1	1	10	789	346	82	21	96.475166	judiciaire
5	1	9	1	1	11	878	345	19	16	96.867119	de
5	1	9	1	1	12	904	344	84	18	96.411888	Grenoble,
3	1	9	2	0	0	108	381	917	65	-1	
4	1	9	2	1	0	108	381	917	26	-1	
5	1	9	2	1	1	108	392	23	15	88.207634	Vu
5	1	9	2	1	2	139	390	110	17	94.240608	l'information
5	1	9	2	1	3	256	390	51	16	96.970596	suivie
5	1	9	2	1	4	313	392	53	13	93.267570	contre
5	1	9	2	1	5	372	389	14	15	92.831139	X
5	1	9	2	1	6	393	388	28	16	96.994759	des
5	1	9	2	1	7	427	387	45	17	96.322922	chefs
5	1	9	2	1	8	478	387	20	16	96.737900	de
5	1	9	2	1	9	504	387	36	16	96.573700	vols
5	1	9	2	1	10	546	391	19	11	95.986954	en
5	1	9	2	1	11	572	386	51	16	95.439827	bande
5	1	9	2	1	12	629	385	86	21	95.281082	organisée,
5	1	9	2	1	13	722	384	95	16	96.650238	association
5	1	9	2	1	14	824	383	19	16	96.650238	de
5	1	9	2	1	15	850	383	96	16	88.814690	malfaiteurs
5	1	9	2	1	16	953	385	15	12	92.919502	et
5	1	9	2	1	17	974	381	40	16	92.919502	recel
5	1	9	2	1	18	1022	386	3	13	92.958221	;
4	1	9	2	2	0	108	424	533	22	-1	
5	1	9	2	2	1	108	430	23	15	91.013321	Vu
5	1	9	2	2	2	139	429	22	16	91.013321	les
5	1	9	2	2	3	168	428	61	17	93.151543	articles
5	1	9	2	2	4	236	428	60	16	93.107773	230-32
5	1	9	2	2	5	302	427	9	16	93.277931	à
5	1	9	2	2	6	318	427	60	16	92.903053	230-44
5	1	9	2	2	7	384	426	21	16	96.641304	du
5	1	9	2	2	8	411	426	40	16	95.461327	code
5	1	9	2	2	9	458	425	19	16	95.461327	de
5	1	9	2	2	10	484	425	85	21	95.256645	procédure
5	1	9	2	2	11	576	424	55	21	93.302116	pénale
5	1	9	2	2	12	638	429	3	13	92.368317	;
3	1	9	3	0	0	109	461	552	25	-1	
4	1	9	3	1	0	109	461	552	25	-1	
5	1	9	3	1	1	109	467	23	15	95.209549	Vu
5	1	9	3	1	2	139	466	15	16	95.560043	la
5	1	9	3	1	3	160	465	63	21	95.461998	requête
5	1	9	3	1	4	229	465	20	16	96.463142	du
5	1	9	3	1	5	256	465	82	20	92.600418	Capitaine
5	1	9	3	1	6	345	464	106	15	92.578018	SARRAZIN
5	1	9	3	1	7	458	467	19	11	96.566826	en
5	1	9	3	1	8	484	462	35	16	95.918167	date
5	1	9	3	1	9	525	462	21	15	96.128616	du
5	1	9	3	1	10	553	461	98	16	93.301956	24/02/2026
5	1	9	3	1	11	657	465	4	14	92.913322	;
2	1	10	0	0	0	109	493	1027	60	-1	
3	1	10	1	0	0	109	493	1027	60	-1	
4	1	10	1	1	0	109	493	1027	31	-1	
5	1	10	1	1	1	109	504	68	16	96.597481	Attendu
5	1	10	1	1	2	184	508	30	16	96.597481	que
5	1	10	1	1	3	222	503	22	17	96.725563	les
5	1	10	1	1	4	251	502	85	17	94.894913	nécessités
5	1	10	1	1	5	343	502	20	16	96.513275	de
5	1	10	1	1	6	370	501	110	16	93.943207	l'information
5	1	10	1	1	7	487	501	63	19	96.018669	exigent
5	1	10	1	1	8	556	499	20	16	96.156456	de
5	1	10	1	1	9	583	498	79	17	87.752350	connaître
5	1	10	1	1	10	669	503	19	11	96.914185	en
5	1	10	1	1	11	695	501	51	17	95.755035	temps
5	1	10	1	1	12	753	497	31	16	96.957886	réel
5	1	10	1	1	13	791	497	23	15	96.829727	les
5	1	10	1	1	14	820	496	117	20	95.921097	déplacements
5	1	10	1	1	15	944	495	20	16	94.525818	du
5	1	10	1	1	16	971	494	73	17	94.525818	véhicule
5	1	10	1	1	17	1051	493	51	16	96.860695	utilisé
5	1	10	1	1	18	1109	498	27	15	96.799980	par
4	1	10	1	2	0	109	523	870	30	-1	
5	1	10	1	2	1	109	533	15	15	95.557579	le
5	1	10	1	2	2	130	531	76	22	95.133209	principal
5	1	10	1	2	3	212	534	68	17	95.435593	suspect,
5	1	10	1	2	4	287	530	33	16	96.514450	afin
5	1	10	1	2	5	326	529	94	17	95.376244	d'identifier
5	1	10	1	2	6	426	529	22	15	89.121964	les
5	1	10	1	2	7	456	528	41	16	96.714752	lieux
5	1	10	1	2	8	504	528	19	16	96.996841	de
5	1	10	1	2	9	530	527	73	21	96.292076	repérage
5	1	10	1	2	10	610	530	15	12	96.649185	et
5	1	10	1	2	11	631	527	14	15	89.692017	le
5	1	10	1	2	12	652	527	54	15	81.735031	circuit
5	1	10	1	2	13	712	525	114	17	96.144966	d'écoulement
5	1	10	1	2	14	832	524	28	16	96.924751	des
5	1	10	1	2	15	867	524	50	20	96.582527	objets
5	1	10	1	2	16	924	523	44	16	93.272064	volés
5	1	10	1	2	17	976	528	3	13	92.836761	;
2	1	11	0	0	0	109	558	1029	57	-1	
3	1	11	1	0	0	109	558	1029	57	-1	
4	1	11	1	1	0	109	558	1029	30	-1	
5	1	11	1	1	1	109	569	101	16	92.908882	Autorisons
5	1	11	1	1	2	217	568	14	16	96.507874	la
5	1	11	1	1	3	240	569	39	15	96.794708	mise
5	1	11	1	1	4	287	572	19	11	96.346909	en
5	1	11	1	1	5	314	567	45	21	96.346909	place
